LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
DEU,CPI,TOT,AGRWTH,M,1999-03,0.2386635
DEU,CPI,TOT,AGRWTH,M,1999-04,0.5959476
DEU,CPI,TOT,AGRWTH,M,1999-05,0.4761905
DEU,CPI,TOT,AGRWTH,M,1999-06,0.4756243
DEU,CPI,TOT,AGRWTH,M,1999-07,0.5924171
DEU,CPI,TOT,AGRWTH,M,1999-08,0.7125891
DEU,CPI,TOT,AGRWTH,M,1999-09,0.7142857
DEU,CPI,TOT,AGRWTH,M,1999-10,0.7151371
DEU,CPI,TOT,AGRWTH,M,1999-11,0.9535161
DEU,CPI,TOT,AGRWTH,M,1999-12,1.190476
DEU,CPI,TOT,AGRWTH,M,2000-01,1.549464
DEU,CPI,TOT,AGRWTH,M,2000-02,1.547619
DEU,CPI,TOT,AGRWTH,M,2000-03,1.547619
DEU,CPI,TOT,AGRWTH,M,2000-04,1.066351
DEU,CPI,TOT,AGRWTH,M,2000-05,0.9478673
DEU,CPI,TOT,AGRWTH,M,2000-06,1.301775
DEU,CPI,TOT,AGRWTH,M,2000-07,1.295642
DEU,CPI,TOT,AGRWTH,M,2000-08,1.179245
DEU,CPI,TOT,AGRWTH,M,2000-09,1.654846
DEU,CPI,TOT,AGRWTH,M,2000-10,1.656805
DEU,CPI,TOT,AGRWTH,M,2000-11,1.534829
DEU,CPI,TOT,AGRWTH,M,2000-12,2
DEU,CPI,TOT,AGRWTH,M,2001-01,1.408451
DEU,CPI,TOT,AGRWTH,M,2001-02,1.875733
DEU,CPI,TOT,AGRWTH,M,2001-03,1.875733
DEU,CPI,TOT,AGRWTH,M,2001-04,2.344666
DEU,CPI,TOT,AGRWTH,M,2001-05,2.816901
DEU,CPI,TOT,AGRWTH,M,2001-06,2.453271
DEU,CPI,TOT,AGRWTH,M,2001-07,2.093023
DEU,CPI,TOT,AGRWTH,M,2001-08,2.097902
DEU,CPI,TOT,AGRWTH,M,2001-09,1.860465
DEU,CPI,TOT,AGRWTH,M,2001-10,1.862631
DEU,CPI,TOT,AGRWTH,M,2001-11,1.511628
DEU,CPI,TOT,AGRWTH,M,2001-12,1.614763
DEU,CPI,TOT,AGRWTH,M,2002-01,2.083333
DEU,CPI,TOT,AGRWTH,M,2002-02,1.841197
DEU,CPI,TOT,AGRWTH,M,2002-03,2.071346
DEU,CPI,TOT,AGRWTH,M,2002-04,1.489118
DEU,CPI,TOT,AGRWTH,M,2002-05,1.255708
DEU,CPI,TOT,AGRWTH,M,2002-06,1.140251
DEU,CPI,TOT,AGRWTH,M,2002-07,1.138952
DEU,CPI,TOT,AGRWTH,M,2002-08,1.255708
DEU,CPI,TOT,AGRWTH,M,2002-09,1.255708
DEU,CPI,TOT,AGRWTH,M,2002-10,1.257143
DEU,CPI,TOT,AGRWTH,M,2002-11,1.145475
DEU,CPI,TOT,AGRWTH,M,2002-12,1.135074
DEU,CPI,TOT,AGRWTH,M,2003-01,1.020408
DEU,CPI,TOT,AGRWTH,M,2003-02,1.242938
DEU,CPI,TOT,AGRWTH,M,2003-03,1.127396
DEU,CPI,TOT,AGRWTH,M,2003-04,0.9029346
DEU,CPI,TOT,AGRWTH,M,2003-05,0.5636979
DEU,CPI,TOT,AGRWTH,M,2003-06,0.9019166
DEU,CPI,TOT,AGRWTH,M,2003-07,1.013514
DEU,CPI,TOT,AGRWTH,M,2003-08,1.127396
DEU,CPI,TOT,AGRWTH,M,2003-09,1.014656
DEU,CPI,TOT,AGRWTH,M,2003-10,1.128668
DEU,CPI,TOT,AGRWTH,M,2003-11,1.245753
DEU,CPI,TOT,AGRWTH,M,2003-12,1.122334
DEU,CPI,TOT,AGRWTH,M,2004-01,1.122334
DEU,CPI,TOT,AGRWTH,M,2004-02,0.78125
DEU,CPI,TOT,AGRWTH,M,2004-03,1.003345
DEU,CPI,TOT,AGRWTH,M,2004-04,1.677852
DEU,CPI,TOT,AGRWTH,M,2004-05,2.130045
DEU,CPI,TOT,AGRWTH,M,2004-06,1.787709
DEU,CPI,TOT,AGRWTH,M,2004-07,1.783723
DEU,CPI,TOT,AGRWTH,M,2004-08,1.895206
DEU,CPI,TOT,AGRWTH,M,2004-09,1.785714
DEU,CPI,TOT,AGRWTH,M,2004-10,1.897321
DEU,CPI,TOT,AGRWTH,M,2004-11,1.901566
DEU,CPI,TOT,AGRWTH,M,2004-12,2.219756
DEU,CPI,TOT,AGRWTH,M,2005-01,1.442841
DEU,CPI,TOT,AGRWTH,M,2005-02,1.66113
DEU,CPI,TOT,AGRWTH,M,2005-03,1.766004
DEU,CPI,TOT,AGRWTH,M,2005-04,1.210121
DEU,CPI,TOT,AGRWTH,M,2005-05,1.207464
DEU,CPI,TOT,AGRWTH,M,2005-06,1.317234
DEU,CPI,TOT,AGRWTH,M,2005-07,1.533406
DEU,CPI,TOT,AGRWTH,M,2005-08,1.531729
DEU,CPI,TOT,AGRWTH,M,2005-09,1.864035
DEU,CPI,TOT,AGRWTH,M,2005-10,1.861993
DEU,CPI,TOT,AGRWTH,M,2005-11,1.756312
DEU,CPI,TOT,AGRWTH,M,2005-12,1.411509
DEU,CPI,TOT,AGRWTH,M,2006-01,1.859956
DEU,CPI,TOT,AGRWTH,M,2006-02,1.851852
DEU,CPI,TOT,AGRWTH,M,2006-03,1.409978
DEU,CPI,TOT,AGRWTH,M,2006-04,1.956522
DEU,CPI,TOT,AGRWTH,M,2006-05,1.735358
DEU,CPI,TOT,AGRWTH,M,2006-06,1.84182
DEU,CPI,TOT,AGRWTH,M,2006-07,1.833873
DEU,CPI,TOT,AGRWTH,M,2006-08,1.508621
DEU,CPI,TOT,AGRWTH,M,2006-09,1.076426
DEU,CPI,TOT,AGRWTH,M,2006-10,1.075269
DEU,CPI,TOT,AGRWTH,M,2006-11,1.402373
DEU,CPI,TOT,AGRWTH,M,2006-12,1.391863
DEU,CPI,TOT,AGRWTH,M,2007-01,1.718582
DEU,CPI,TOT,AGRWTH,M,2007-02,1.71123
DEU,CPI,TOT,AGRWTH,M,2007-03,1.925134
DEU,CPI,TOT,AGRWTH,M,2007-04,2.132196
DEU,CPI,TOT,AGRWTH,M,2007-05,2.132196
DEU,CPI,TOT,AGRWTH,M,2007-06,1.914894
DEU,CPI,TOT,AGRWTH,M,2007-07,2.012712
DEU,CPI,TOT,AGRWTH,M,2007-08,2.123142
DEU,CPI,TOT,AGRWTH,M,2007-09,2.662407
DEU,CPI,TOT,AGRWTH,M,2007-10,2.765957
DEU,CPI,TOT,AGRWTH,M,2007-11,3.297872
DEU,CPI,TOT,AGRWTH,M,2007-12,3.167899
DEU,CPI,TOT,AGRWTH,M,2008-01,2.851109
DEU,CPI,TOT,AGRWTH,M,2008-02,2.839117
DEU,CPI,TOT,AGRWTH,M,2008-03,3.147954
DEU,CPI,TOT,AGRWTH,M,2008-04,2.400835
DEU,CPI,TOT,AGRWTH,M,2008-05,3.02714
DEU,CPI,TOT,AGRWTH,M,2008-06,3.235908
DEU,CPI,TOT,AGRWTH,M,2008-07,3.322949
DEU,CPI,TOT,AGRWTH,M,2008-08,3.118503
DEU,CPI,TOT,AGRWTH,M,2008-09,2.80083
DEU,CPI,TOT,AGRWTH,M,2008-10,2.380952
DEU,CPI,TOT,AGRWTH,M,2008-11,1.338826
DEU,CPI,TOT,AGRWTH,M,2008-12,1.125896
DEU,CPI,TOT,AGRWTH,M,2009-01,0.9240246
DEU,CPI,TOT,AGRWTH,M,2009-02,1.124744
DEU,CPI,TOT,AGRWTH,M,2009-03,0.4069176
DEU,CPI,TOT,AGRWTH,M,2009-04,0.7135576
DEU,CPI,TOT,AGRWTH,M,2009-05,0
DEU,CPI,TOT,AGRWTH,M,2009-06,0.1011122
DEU,CPI,TOT,AGRWTH,M,2009-07,-0.5025126
DEU,CPI,TOT,AGRWTH,M,2009-08,0
DEU,CPI,TOT,AGRWTH,M,2009-09,-0.2018164
DEU,CPI,TOT,AGRWTH,M,2009-10,0
DEU,CPI,TOT,AGRWTH,M,2009-11,0.4065041
DEU,CPI,TOT,AGRWTH,M,2009-12,0.8097166
DEU,CPI,TOT,AGRWTH,M,2010-01,0.7121058
DEU,CPI,TOT,AGRWTH,M,2010-02,0.5055612
DEU,CPI,TOT,AGRWTH,M,2010-03,1.215806
DEU,CPI,TOT,AGRWTH,M,2010-04,1.214575
DEU,CPI,TOT,AGRWTH,M,2010-05,1.215806
DEU,CPI,TOT,AGRWTH,M,2010-06,0.9090909
DEU,CPI,TOT,AGRWTH,M,2010-07,1.111111
DEU,CPI,TOT,AGRWTH,M,2010-08,1.008065
DEU,CPI,TOT,AGRWTH,M,2010-09,1.213347
DEU,CPI,TOT,AGRWTH,M,2010-10,1.314459
DEU,CPI,TOT,AGRWTH,M,2010-11,1.518219
DEU,CPI,TOT,AGRWTH,M,2010-12,1.305221
DEU,CPI,TOT,AGRWTH,M,2011-01,1.717172
DEU,CPI,TOT,AGRWTH,M,2011-02,1.911469
DEU,CPI,TOT,AGRWTH,M,2011-03,2.002002
DEU,CPI,TOT,AGRWTH,M,2011-04,1.9
DEU,CPI,TOT,AGRWTH,M,2011-05,2.002002
DEU,CPI,TOT,AGRWTH,M,2011-06,2.102102
DEU,CPI,TOT,AGRWTH,M,2011-07,2.097902
DEU,CPI,TOT,AGRWTH,M,2011-08,2.095808
DEU,CPI,TOT,AGRWTH,M,2011-09,2.397602
DEU,CPI,TOT,AGRWTH,M,2011-10,2.295409
DEU,CPI,TOT,AGRWTH,M,2011-11,2.392822
DEU,CPI,TOT,AGRWTH,M,2011-12,1.982161
DEU,CPI,TOT,AGRWTH,M,2012-01,2.085402
DEU,CPI,TOT,AGRWTH,M,2012-02,2.171767
DEU,CPI,TOT,AGRWTH,M,2012-03,2.158979
DEU,CPI,TOT,AGRWTH,M,2012-04,1.962709
DEU,CPI,TOT,AGRWTH,M,2012-05,1.962709
DEU,CPI,TOT,AGRWTH,M,2012-06,1.666667
DEU,CPI,TOT,AGRWTH,M,2012-07,1.8591
DEU,CPI,TOT,AGRWTH,M,2012-08,2.150538
DEU,CPI,TOT,AGRWTH,M,2012-09,2.04878
DEU,CPI,TOT,AGRWTH,M,2012-10,2.04878
DEU,CPI,TOT,AGRWTH,M,2012-11,1.94742
DEU,CPI,TOT,AGRWTH,M,2012-12,2.040816
DEU,CPI,TOT,AGRWTH,M,2013-01,1.653697
DEU,CPI,TOT,AGRWTH,M,2013-02,1.545894
DEU,CPI,TOT,AGRWTH,M,2013-03,1.440922
DEU,CPI,TOT,AGRWTH,M,2013-04,1.154957
DEU,CPI,TOT,AGRWTH,M,2013-05,1.539942
DEU,CPI,TOT,AGRWTH,M,2013-06,1.832208
DEU,CPI,TOT,AGRWTH,M,2013-07,1.92123
DEU,CPI,TOT,AGRWTH,M,2013-08,1.531101
DEU,CPI,TOT,AGRWTH,M,2013-09,1.434034
DEU,CPI,TOT,AGRWTH,M,2013-10,1.24283
DEU,CPI,TOT,AGRWTH,M,2013-11,1.337154
DEU,CPI,TOT,AGRWTH,M,2013-12,1.428571
DEU,CPI,TOT,AGRWTH,M,2014-01,1.339713
DEU,CPI,TOT,AGRWTH,M,2014-02,1.236917
DEU,CPI,TOT,AGRWTH,M,2014-03,1.041667
DEU,CPI,TOT,AGRWTH,M,2014-04,1.332065
DEU,CPI,TOT,AGRWTH,M,2014-05,0.8530806
DEU,CPI,TOT,AGRWTH,M,2014-06,1.041667
DEU,CPI,TOT,AGRWTH,M,2014-07,0.8482563
DEU,CPI,TOT,AGRWTH,M,2014-08,0.8482563
DEU,CPI,TOT,AGRWTH,M,2014-09,0.8482563
DEU,CPI,TOT,AGRWTH,M,2014-10,0.7554296
DEU,CPI,TOT,AGRWTH,M,2014-11,0.5655043
DEU,CPI,TOT,AGRWTH,M,2014-12,0.1877934
DEU,CPI,TOT,AGRWTH,M,2015-01,-0.2832861
DEU,CPI,TOT,AGRWTH,M,2015-02,-0.04656311
DEU,CPI,TOT,AGRWTH,M,2015-03,0.1747867
DEU,CPI,TOT,AGRWTH,M,2015-04,0.8662329
DEU,CPI,TOT,AGRWTH,M,2015-05,1.162551
DEU,CPI,TOT,AGRWTH,M,2015-06,0.8781202
DEU,CPI,TOT,AGRWTH,M,2015-07,0.7956734
DEU,CPI,TOT,AGRWTH,M,2015-08,0.7956734
DEU,CPI,TOT,AGRWTH,M,2015-09,0.5952844
DEU,CPI,TOT,AGRWTH,M,2015-10,0.8781202
DEU,CPI,TOT,AGRWTH,M,2015-11,0.1747867
DEU,CPI,TOT,AGRWTH,M,2015-12,0.1747867
DEU,CPI,TOT,AGRWTH,M,2016-01,0.5076142
DEU,CPI,TOT,AGRWTH,M,2016-02,0.1008065
DEU,CPI,TOT,AGRWTH,M,2016-03,0.3009027
DEU,CPI,TOT,AGRWTH,M,2016-04,-0.0998004
DEU,CPI,TOT,AGRWTH,M,2016-05,0.1992032
DEU,CPI,TOT,AGRWTH,M,2016-06,0.2988048
DEU,CPI,TOT,AGRWTH,M,2016-07,0.4970179
DEU,CPI,TOT,AGRWTH,M,2016-08,0.3976143
DEU,CPI,TOT,AGRWTH,M,2016-09,0.5976096
DEU,CPI,TOT,AGRWTH,M,2016-10,0.7968128
DEU,CPI,TOT,AGRWTH,M,2016-11,0.8024072
DEU,CPI,TOT,AGRWTH,M,2016-12,1.504514
DEU,CPI,TOT,AGRWTH,M,2017-01,1.616162
DEU,CPI,TOT,AGRWTH,M,2017-02,1.913394
DEU,CPI,TOT,AGRWTH,M,2017-03,1.4
DEU,CPI,TOT,AGRWTH,M,2017-04,1.698302
DEU,CPI,TOT,AGRWTH,M,2017-05,1.192843
DEU,CPI,TOT,AGRWTH,M,2017-06,1.390268
DEU,CPI,TOT,AGRWTH,M,2017-07,1.384768
DEU,CPI,TOT,AGRWTH,M,2017-08,1.584158
DEU,CPI,TOT,AGRWTH,M,2017-09,1.683168
DEU,CPI,TOT,AGRWTH,M,2017-10,1.284585
DEU,CPI,TOT,AGRWTH,M,2017-11,1.59204
DEU,CPI,TOT,AGRWTH,M,2017-12,1.383399
DEU,CPI,TOT,AGRWTH,M,2018-01,1.39165
DEU,CPI,TOT,AGRWTH,M,2018-02,1.086957
DEU,CPI,TOT,AGRWTH,M,2018-03,1.47929
DEU,CPI,TOT,AGRWTH,M,2018-04,1.277014
DEU,CPI,TOT,AGRWTH,M,2018-05,2.062868
DEU,CPI,TOT,AGRWTH,M,2018-06,1.860921
DEU,CPI,TOT,AGRWTH,M,2018-07,1.853659
DEU,CPI,TOT,AGRWTH,M,2018-08,1.851852
DEU,CPI,TOT,AGRWTH,M,2018-09,1.94742
DEU,CPI,TOT,AGRWTH,M,2018-10,2.341463
DEU,CPI,TOT,AGRWTH,M,2018-11,2.056807
DEU,CPI,TOT,AGRWTH,M,2018-12,1.559454
DEU,CPI,TOT,AGRWTH,M,2019-01,1.372549
DEU,CPI,TOT,AGRWTH,M,2019-02,1.466276
DEU,CPI,TOT,AGRWTH,M,2019-03,1.263363
DEU,CPI,TOT,AGRWTH,M,2019-04,2.036857
DEU,CPI,TOT,AGRWTH,M,2019-05,1.443696
DEU,CPI,TOT,AGRWTH,M,2019-06,1.634615
DEU,CPI,TOT,AGRWTH,M,2019-07,1.724138
DEU,CPI,TOT,AGRWTH,M,2019-08,1.435407
DEU,CPI,TOT,AGRWTH,M,2019-09,1.241643
DEU,CPI,TOT,AGRWTH,M,2019-10,1.143947
DEU,CPI,TOT,AGRWTH,M,2019-11,1.055662
DEU,CPI,TOT,AGRWTH,M,2019-12,1.535509
DEU,CPI,TOT,AGRWTH,M,2020-01,1.740812
DEU,CPI,TOT,AGRWTH,M,2020-02,1.734104
DEU,CPI,TOT,AGRWTH,M,2020-03,1.4
CHE,CPI,TOT,AGRWTH,M,1999-03,0.467066
CHE,CPI,TOT,AGRWTH,M,1999-04,0.5937113
